"Скважина","НГДУ","ЦДНГ","ГУ","ЗУ","Категория","Состояние","Причина простоя","Способ эксплуатации","№ отвода","Qж, м³/сут","Обв, %","Qн, т/сут"
UZN_0693,НГДУ-4,ЦДНГ-4,ГУ-24,ЗУ-24б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,20.0,80.0,3.0
UZN_0695,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0697,НГДУ-1,ЦДНГ-2,ГУ-88,ЗУ-88б,Нефтяная,В работе,,ШГН,3.000000,75.0,95.0,3.0
UZN_0699,НГДУ-4,ЦДНГ-4,ГУ-102,ЗУ-102ж,Контрольная,В простое,Перевод в КФ,ШГН,9.000000,5.0,90.0,0.0
UZN_0700,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0701,НГДУ-3,ЦДНГ-13,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0702,НГДУ-3,ЦДНГ-13,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0703,НГДУ-4,ЦДНГ-6,ГУ-10,ЗУ-10в,Нефтяная,В работе,,ШГН,11.000000,50.0,50.0,21.0
UZN_0704,НГДУ-4,ЦДНГ-6,ГУ-10,ЗУ-10в,Нефтяная,В работе,,ШГН,5.000000,35.0,50.0,15.0
UZN_0705,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0706,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,14.000000,,,
UZN_0707,НГДУ-3,ЦДНГ-5,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0708,НГДУ-4,ЦДНГ-6,ГУ-23,ЗУ-23а,Нефтяная,В работе,,ШГН,12.000000,35.0,70.0,9.0
UZN_0709,НГДУ-3,ЦДНГ-5,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0710,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0711,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107б,Контрольная,Наблюдательная,,ШГН,9.000000,20.0,90.0,2.0
UZN_0712,НГДУ-3,ЦДНГ-5,ГУ-76,ЗУ-76б,Нефтяная,Ликвидированная,Технические причины,Отсутствует,8.000000,5.0,45.0,2.0
UZN_0713,НГДУ-3,ЦДНГ-1,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0714,НГДУ-4,ЦДНГ-6,ГУ-10,ЗУ-10в,Нефтяная,В простое,ПРС,ШГН,13.000000,45.0,90.0,4.0
UZN_0715,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0717,НГДУ-4,,,,Нагнетательная,В работе,,Отсутствует,,50.0,98.0,1.0
UZN_0718,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107а,Нефтяная,В простое,ПРС,ШГН,13.000000,20.0,80.0,3.0
UZN_0719,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0720,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0721,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
